name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Corben Sharrah,Cycling,University of Arizona,Tucson,AZ,34,0|0|0,2016|2020
Magnus Sheffield,Cycling,,Pittsford,NY,24,0|0|0,2024
Felicia Stancil,Cycling,Marian University,Indianapolis,IN,30,0|0|0,2020|2024
Evelyn Stevens,Cycling,Acton Boxborough Regional High School (Acton Mass.) '01; Dartmouth College '05 Government,San Francisco,CA,43,0|0|0,2012|2016
Lauren Tamayo,Cycling,Art Institute of Pittsburgh,Barto,,42,0|1|0,2012
Leah Thomas,Cycling,Northwestern University,Boulder Creek,CA,36,0|0|0,2020
Jennifer Valente,Cycling,University of Colorado Springs,San Diego,CA,31,3|1|1,2016|2020|2024
Tejay VanGarderen,Cycling,,Bozeman,MT,37,0|0|0,2012
Daleny Vaughn,Cycling,,Tucson,AZ,25,0|0|0,2024
Emma White,Cycling,Union College '19 Computer Science,Duanesburg,NY,28,0|0|1,2020
Lily Williams,Cycling,Northwestern University '17,Tallahassee,FL,31,1|0|1,2020|2024
Alise Willoughby,Cycling,University of San Diego '15,St. Cloud,MN,35,0|1|0,2012|2016|2020|2024
Ruth Winder,Cycling,Homeschooled '11,Lafayette,CA,32,0|0|0,2020
Cameron Wood,Cycling,Connections Academy (Online) '20,Avondale,AZ,24,0|0|0,2024
Chloe Woodruff,Cycling,New Vista High School (Boulder Colo.) '05; University of Arizona '10 Community Health Education,Prescott,AZ,38,0|0|0,2016
